month,category,area_code,area_name,n
2016-12-01,Burglary,E08000009,Trafford,198
2017-01-01,Burglary,E08000009,Trafford,176
2017-02-01,Burglary,E08000009,Trafford,170
2017-03-01,Burglary,E08000009,Trafford,153
2017-04-01,Burglary,E08000009,Trafford,146
2017-05-01,Burglary,E08000009,Trafford,151
2017-06-01,Burglary,E08000009,Trafford,174
2017-07-01,Burglary,E08000009,Trafford,181
2017-08-01,Burglary,E08000009,Trafford,153
2017-09-01,Burglary,E08000009,Trafford,130
2017-10-01,Burglary,E08000009,Trafford,144
2017-11-01,Burglary,E08000009,Trafford,140
2017-12-01,Burglary,E08000009,Trafford,145
